# BEAST v1.8.3
# Generated Thu Mar 09 09:46:24 PST 2017 [seed=1489081582878]
# -beagle_scaling dynamic -threads 1 -beagle_SSE -beagle_instances 1 -beagle_GPU -beagle_cuda infile.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Calathea)	tmrca(Goeppertia)	tmrca(Straminea1e2)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-69535.24071037536	-15937.751601425816	-53597.48910894955	622.8668484710848	201.12640602716408	352.44450443638254	111.75329054252192	1.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	3.0	0.5039747013396304	6.841365832446513	0.0033467835452845526	-51832.61837579369	-1764.8707331558608	-4842.178831394194
20000	-20828.088778202306	-418.4996055348477	-20409.589172667456	44.46940845763926	40.23647919657342	40.20565198499242	38.90132092956954	0.1934385452749576	4.22492967923004	0.21935107603981333	0.2564938103199799	0.2376540088692153	0.28650110477099144	0.5827273076894368	0.06408766331544075	1.7558834965435142	0.01175444177239232	3.360624553953544	0.18523112969933378	-18644.718439511595	-1764.8707331558608	-387.8458940752943
40000	-18865.92228521403	-383.5424717452195	-18482.37981346881	39.04739735474877	37.0536680357271	36.346348363190124	36.23161000293711	0.26278781618241726	4.264779304129101	0.17824188846385605	0.26448229520583916	0.21877285993879944	0.33850295639150546	0.6110839398690758	0.04424691153140103	1.601271555479002	0.01085117300475485	2.7886189799230223	0.2553615017147861	-16717.50908031295	-1764.8707331558608	-358.35330888987886
60000	-17360.993389112395	-422.2888540196223	-16938.704535092773	48.35398869743446	41.70235518065812	44.8921305435895	39.53816918832533	0.2002885839673325	4.361880634813732	0.16876588525875608	0.27242013989204356	0.21191512637708854	0.34689884847211194	0.6893103945275507	0.019776660564816254	1.4407147313028852	0.00717913932946003	2.368564520698328	0.17054449533333796	-15173.833801936911	-1764.8707331558608	-405.00540868854966
80000	-16684.709963453155	-442.81615856382973	-16241.893804889325	45.05665106159338	40.66035324200228	38.75213564322786	32.95077088444253	0.15989754321043434	4.437461674568089	0.1792861565493045	0.27340666692853266	0.21779442796912046	0.32951274855304263	0.6760641426384066	0.009120130434477763	1.0987128718488042	0.005255573462275055	1.5004760963194843	0.14586370068545615	-14477.023071733465	-1764.8707331558608	-432.07889837120604
100000	-16126.414760553465	-442.818852123915	-15683.59590842955	41.2797873483668	38.274703408103406	38.27657816941472	29.280914343879882	0.1933775905809957	4.101150473467347	0.1712385337923191	0.26741059769407477	0.22251458920317035	0.33883627931043614	0.7017573086132334	0.007315238853191902	1.0200535618712145	0.005019263237975053	1.38394508057568	0.1986072586589053	-13918.72517527369	-1764.8707331558608	-431.1113416515657
120000	-15832.21497817037	-474.43910327453267	-15357.775874895837	43.954141505405104	43.387436055915416	37.61975639621773	36.134813381923045	0.12857361200632186	4.220206937244001	0.1800712276328712	0.25665701924649387	0.22375482692663343	0.3395169261940019	0.6925850470510893	0.004268131710149543	0.7904741411096203	0.00373627052094604	0.9209744239405647	0.0603196806797868	-13592.905141739975	-1764.8707331558608	-466.1520892433704
140000	-15500.250579044892	-473.28563413251396	-15026.964944912379	45.19484092806343	43.10431933563476	34.368938246916514	33.191353202967065	0.13676398682602606	4.196654214871155	0.18202517573775964	0.26032954224784804	0.21773649989018698	0.33990878212420583	0.8299375202771199	0.003722985128120045	0.715870405087241	0.0035169412512577438	0.7812744471582338	0.047251898352035165	-13262.09421175652	-1764.8707331558608	-464.55621049754956
160000	-15184.478749879274	-482.15485376902046	-14702.323896110254	47.79568283720555	47.52991322479104	35.81437433954012	32.144945720043786	0.11650439757491757	3.9331631479618765	0.18117233954111325	0.24818417374382754	0.23275742698577329	0.3378860597292864	0.749024002847566	0.0034252272948965584	0.6022041999161961	0.0032421470716414258	0.6604329718094117	0.03780106028230919	-12937.453162954393	-1764.8707331558608	-473.12970265501735
180000	-15091.208878108831	-490.6369852047644	-14600.571892904067	45.09175310161501	44.68823586331524	36.48357939533	34.565050736447304	0.12072098188677559	4.055258017028332	0.1693403892406779	0.25037314345929745	0.23993634611481887	0.3403501211852063	0.8344896263044311	0.0027736905184102723	0.39611240717924545	0.0028509439443799873	0.40699016569677104	0.07450011310593484	-12835.701159748205	-1764.8707331558608	-483.1475368824643
